PC_Timestamp,Pico_Timestamp,Pressure,Temperature,Encoder_Degrees
16:51:47.083,5561541484,101245.000,23.800,78728.797
16:51:47.186,5561644483,101243.000,23.800,78730.562
16:51:47.393,5561851478,101240.000,23.800,78730.539
16:51:47.500,5561958482,101239.000,23.790,78782.336
16:51:47.603,5562061484,101241.000,23.790,78884.547
16:51:47.705,5562163484,101240.000,23.800,78885.344
16:51:47.912,5562370478,101241.000,23.800,78885.289
16:51:48.015,5562473484,101243.000,23.800,78921.391
16:51:48.118,5562576482,101240.000,23.800,79039.289
16:51:48.221,5562679485,101244.000,23.800,79040.141
16:51:48.429,5562887474,101241.000,23.800,79040.102
16:51:48.531,5562989497,101242.000,23.800,79129.758
16:51:48.633,5563091485,101242.000,23.800,79194.695
16:51:48.736,5563194496,101244.000,23.800,79194.867
16:51:48.945,5563402476,101243.000,23.800,79194.867
16:51:49.044,5563502487,101244.000,23.800,79336.734
16:51:49.146,5563604493,101245.000,23.800,79348.094
16:51:49.248,5563706481,101241.000,23.800,79349.734
16:51:49.462,5563919474,101237.000,23.790,79349.711
16:51:49.564,5564022494,101245.000,23.800,79496.156
16:51:49.676,5564124488,101245.000,23.800,79503.016
16:51:49.768,5564226482,101243.000,23.800,79504.508
16:51:49.976,5564434486,101243.000,23.800,79504.484
16:51:50.078,5564536484,101244.000,23.800,79544.406
16:51:50.180,5564638485,101242.000,23.800,79658.539
16:51:50.283,5564740480,101246.000,23.810,79659.352
16:51:50.489,5564947471,101242.000,23.800,79659.305
16:51:50.591,5565049484,101241.000,23.800,79780.125
16:51:50.693,5565151484,101244.000,23.810,79812.344
16:51:50.801,5565259481,101241.000,23.790,79814.109
16:51:51.008,5565466482,101241.000,23.800,79814.086
16:51:51.111,5565568484,101238.000,23.800,79888.977
16:51:51.214,5565672493,101241.000,23.800,79968.578
16:51:51.330,5565775479,101243.000,23.800,79968.945
16:51:51.527,5565985478,101242.000,23.800,79968.898
16:51:51.629,5566087483,101244.000,23.800,80031.680
16:51:51.731,5566189484,101244.000,23.800,80123.211
16:51:51.834,5566292478,101245.000,23.800,80123.719
16:51:52.041,5566499486,101244.000,23.800,80123.672
16:51:52.144,5566601480,101243.000,23.800,80123.656
16:51:52.247,5566705496,101242.000,23.800,80277.242
16:51:52.350,5566807491,101243.000,23.800,80277.242
16:51:52.558,5567016476,101247.000,23.800,80278.469
16:51:52.660,5567118485,101241.000,23.800,80410.086
16:51:52.766,5567222497,101242.000,23.800,80431.641
16:51:52.869,5567327479,101240.000,23.800,80433.297
16:51:53.076,5567534472,101243.000,23.800,80433.273
16:51:53.178,5567636482,101240.000,23.800,80491.359
16:51:53.280,5567738484,101241.000,23.810,80587.734
16:51:53.382,5567840483,101244.000,23.800,80587.734
16:51:53.588,5568046477,101244.000,23.810,80588.078
16:51:53.691,5568149484,101243.000,23.800,80588.031
16:51:53.794,5568251484,101242.000,23.810,80742.875
16:51:53.895,5568353484,101243.000,23.810,80742.875
16:51:54.101,5568559473,101243.000,23.810,80742.875
16:51:54.203,5568661485,101244.000,23.800,80812.758
16:51:54.307,5568765507,101242.000,23.800,80897.469
16:51:54.409,5568867481,101241.000,23.800,80897.727
16:51:54.617,5569074484,101241.000,23.800,80897.680
16:51:54.719,5569177482,101240.000,23.800,81047.570
16:51:54.820,5569278483,101243.000,23.800,81051.156
16:51:54.923,5569380498,101245.000,23.800,81052.539
16:51:55.129,5569587487,101240.000,23.810,81052.492
16:51:55.231,5569689495,101237.000,23.800,81186.906
16:51:55.333,5569791487,101240.000,23.810,81205.562
16:51:55.435,5569893482,101245.000,23.810,81207.344
16:51:55.642,5570100486,101240.000,23.800,81207.320
16:51:55.746,5570204497,101247.000,23.800,81357.367
16:51:55.855,5570307493,101240.000,23.800,81360.766
16:51:55.958,5570416486,101240.000,23.790,81360.766
16:51:56.165,5570623484,101241.000,23.800,81362.078
16:51:56.267,5570725486,101242.000,23.800,81506.930
16:51:56.368,5570826484,101244.000,23.810,81515.398
16:51:56.470,5570928487,101242.000,23.800,81516.930
16:51:56.677,5571135484,101243.000,23.810,81516.914
16:51:56.780,5571237482,101244.000,23.800,81631.469
16:51:56.895,5571340485,101243.000,23.800,81671.641
16:51:56.988,5571446490,101241.000,23.800,81671.641
16:51:57.196,5571654486,101242.000,23.800,81671.664
16:51:57.299,5571757495,101240.000,23.800,81671.664
16:51:57.402,5571860484,101242.000,23.800,81825.961
16:51:57.510,5571962482,101244.000,23.800,81826.477
16:51:57.718,5572176475,101243.000,23.800,81826.453
16:51:57.820,5572278484,101240.000,23.800,81941.344
16:51:57.922,5572380482,101241.000,23.800,81981.211
16:51:58.024,5572482486,101241.000,23.800,81981.211
16:51:58.233,5572691477,101244.000,23.800,81981.234
16:51:58.340,5572798487,101238.000,23.790,82063.961
16:51:58.442,5572900482,101244.000,23.800,82136.000
16:51:58.545,5573003481,101239.000,23.800,82136.070
16:51:58.752,5573210477,101244.000,23.810,82136.070
16:51:58.854,5573312484,101244.000,23.800,82162.180
16:51:58.956,5573414478,101242.000,23.810,82289.969
16:51:59.058,5573516485,101244.000,23.810,82290.859
16:51:59.265,5573723478,101241.000,23.800,82290.836
16:51:59.368,5573826479,101241.000,23.800,82433.992
16:51:59.470,5573928482,101242.000,23.800,82444.055
16:51:59.572,5574030479,101243.000,23.810,82444.055
16:51:59.780,5574237477,101244.000,23.810,82445.695
16:51:59.881,5574339484,101243.000,23.800,82483.102
16:51:59.983,5574441481,101243.000,23.810,82599.578
16:52:00.085,5574543480,101246.000,23.810,82600.445
16:52:00.295,5574753476,101247.000,23.800,82600.445
16:52:00.399,5574856485,101242.000,23.800,82750.242
16:52:00.503,5574959483,101240.000,23.800,82753.836
16:52:00.606,5575063512,101242.000,23.800,82755.258
16:52:00.817,5575274485,101240.000,23.800,82755.234
16:52:00.919,5575377496,101239.000,23.800,82904.734
16:52:01.021,5575479483,101243.000,23.800,82908.664
16:52:01.123,5575580493,101243.000,23.810,82910.047
16:52:01.329,5575787487,101238.000,23.810,82910.023
16:52:01.431,5575889490,101242.000,23.810,82986.820
16:52:01.534,5575992484,101241.000,23.810,83064.609
16:52:01.637,5576095494,101243.000,23.800,83064.867
16:52:01.844,5576302473,101242.000,23.810,83064.867
16:52:01.947,5576405482,101242.000,23.800,83213.859
16:52:02.050,5576508496,101242.000,23.800,83218.258
16:52:02.152,5576610485,101243.000,23.800,83219.648
16:52:02.360,5576818488,101245.000,23.810,83219.625
16:52:02.471,5576920490,101239.000,23.800,83346.016
16:52:02.562,5577020482,101241.000,23.810,83372.602
16:52:02.681,5577139487,101238.000,23.790,83374.453
16:52:02.890,5577348482,101246.000,23.800,83374.453
16:52:02.994,5577452493,101239.000,23.800,83374.406
16:52:03.097,5577555482,101240.000,23.800,83528.531
16:52:03.200,5577658492,101241.000,23.800,83529.273
16:52:03.408,5577866486,101244.000,23.800,83529.250
16:52:03.510,5577968482,101244.000,23.810,83676.914
16:52:03.613,5578070479,101243.000,23.810,83682.586
16:52:03.714,5578172484,101241.000,23.810,83684.031
16:52:03.921,5578379478,101245.000,23.810,83684.008
16:52:04.023,5578481484,101243.000,23.810,83826.484
16:52:04.126,5578584487,101242.000,23.800,83837.211
16:52:04.228,5578686484,101243.000,23.800,83838.820
16:52:04.436,5578893471,101245.000,23.810,83838.820
16:52:04.538,5578996484,101242.000,23.800,83914.297
16:52:04.640,5579098481,101243.000,23.810,83914.297
16:52:04.743,5579201488,101240.000,23.810,83993.633
16:52:04.950,5579407480,101245.000,23.810,83993.633
16:52:05.052,5579510485,101244.000,23.800,84132.875
16:52:05.155,5579613486,101241.000,23.800,84146.789
16:52:05.258,5579716481,101244.000,23.800,84148.406
16:52:05.468,5579924473,101243.000,23.810,84148.406
16:52:05.570,5580028506,101240.000,23.800,84295.914
16:52:05.672,5580130482,101243.000,23.810,84301.773
16:52:05.774,5580232484,101242.000,23.810,84303.234
16:52:05.982,5580439474,101244.000,23.810,84303.234
16:52:06.083,5580541479,101243.000,23.800,84369.664
16:52:06.187,5580644483,101240.000,23.810,84457.516
16:52:06.288,5580746481,101239.000,23.810,84458.016
16:52:06.495,5580953473,101241.000,23.810,84458.016
16:52:06.599,5581056485,101238.000,23.800,84477.242
16:52:06.700,5581158480,101241.000,23.810,84611.789
16:52:06.802,5581260477,101241.000,23.810,84612.828
16:52:07.009,5581467478,101243.000,23.810,84612.828
16:52:07.111,5581569490,101240.000,23.810,84707.773
16:52:07.213,5581671481,101244.000,23.810,84767.516
16:52:07.315,5581773494,101238.000,23.800,84767.609
16:52:07.522,5581980483,101242.000,23.810,84767.609
16:52:07.625,5582083487,101241.000,23.800,84842.398
16:52:07.727,5582185496,101242.000,23.810,84922.141
