PC_Timestamp,Pico_Timestamp,Pressure,Temperature,Encoder_Degrees,steps
11:10:11.755,4921188402,102740.000,20.250,851.404,68800
11:10:11.858,4921291388,102744.000,20.270,851.404,68800
11:10:11.960,4921393382,102745.000,20.280,851.404,68800
11:10:12.062,4921495384,102746.000,20.280,851.404,68800
11:10:12.164,4921597381,102744.000,20.290,851.404,68800
11:10:12.256,4921689362,102749.000,20.290,851.404,68800
11:10:12.358,4921791366,102746.000,20.290,851.404,68800
11:10:12.459,4921892363,102743.000,20.270,851.404,68800
11:10:12.560,4921993367,102744.000,20.280,851.404,68800
11:10:12.661,4922094367,102746.000,20.290,851.404,68800
11:10:12.762,4922195362,102742.000,20.290,851.404,68800
11:10:12.863,4922296364,102748.000,20.290,851.404,68800
11:10:12.965,4922398365,102744.000,20.290,851.404,68800
11:10:13.057,4922490362,102745.000,20.290,851.404,68800
11:10:13.159,4922592356,102742.000,20.280,851.404,68800
11:10:13.262,4922695371,102744.000,20.280,851.404,68800
11:10:13.363,4922796361,102744.000,20.290,851.404,68800
11:10:13.465,4922898361,102745.000,20.290,851.404,68800
11:10:13.557,4922990366,102745.000,20.290,851.404,68800
11:10:13.659,4923092362,102746.000,20.290,851.404,68800
11:10:13.761,4923194361,102745.000,20.290,851.404,68800
11:10:13.863,4923296362,102745.000,20.290,851.404,68800
11:10:13.964,4923397361,102746.000,20.290,851.404,68800
11:10:14.055,4923488364,102746.000,20.300,851.404,68800
11:10:14.156,4923589364,102750.000,20.300,851.404,68800
11:10:14.257,4923690361,102744.000,20.300,851.404,68800
11:10:14.358,4923791364,102747.000,20.300,851.404,68800
11:10:14.460,4923893363,102747.000,20.300,851.404,68800
11:10:14.562,4923995365,102746.000,20.300,851.404,68800
11:10:14.664,4924097361,102746.000,20.300,851.404,68800
11:10:14.755,4924188359,102746.000,20.300,851.404,68800
11:10:14.857,4924290366,102744.000,20.300,851.404,68800
11:10:14.958,4924391363,102750.000,20.300,851.404,68800
11:10:15.060,4924493361,102743.000,20.300,851.404,68800
11:10:15.162,4924595367,102743.000,20.300,851.404,68800
11:10:15.263,4924696368,102743.000,20.300,851.404,68800
11:10:15.365,4924798362,102744.000,20.300,851.404,68800
11:10:15.456,4924889364,102745.000,20.300,851.404,68800
11:10:15.558,4924991377,102743.000,20.300,851.404,68800
11:10:15.660,4925093363,102748.000,20.300,851.404,68800
11:10:15.762,4925195370,102742.000,20.300,851.404,68800
11:10:15.864,4925297375,102744.000,20.300,851.404,68800
11:10:15.956,4925389367,102747.000,20.300,851.404,68800
11:10:16.058,4925491372,102748.000,20.300,851.404,68800
11:10:16.160,4925593367,102746.000,20.300,851.404,68800
11:10:16.262,4925695360,102744.000,20.300,851.404,68800
11:10:16.364,4925797358,102748.000,20.300,851.404,68800
11:10:16.456,4925889380,102744.000,20.300,851.404,68800
11:10:16.558,4925991371,102740.000,20.300,851.404,68800
